epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
169,3624.43,0.8981,0.5964,1.1039,0.9275,0.88174,0.93139,0.72546,0.93119,0.52263,1.07008,0.0083368,0.0083368,0.0083368
170,3647.03,0.90424,0.59392,1.11345,0.91656,0.88024,0.93338,0.73128,0.92677,0.50985,1.07301,0.0083269,0.0083269,0.0083269
171,3668.37,0.90079,0.58763,1.09789,0.89009,0.90719,0.9328,0.7263,0.92136,0.5015,1.06586,0.008317,0.008317,0.008317
172,3690.1,0.9089,0.58613,1.10081,0.92545,0.87346,0.93291,0.72908,0.91052,0.50492,1.05866,0.0083071,0.0083071,0.0083071
173,3711.52,0.89292,0.57864,1.10435,0.92496,0.88573,0.93359,0.73552,0.90588,0.50253,1.06318,0.0082972,0.0082972,0.0082972
174,3732.9,0.89807,0.58169,1.10501,0.92253,0.89129,0.93099,0.73276,0.91059,0.5141,1.05415,0.0082873,0.0082873,0.0082873
175,3754.48,0.89274,0.57367,1.09574,0.92634,0.9012,0.93721,0.73398,0.90602,0.5017,1.05467,0.0082774,0.0082774,0.0082774
176,3776.1,0.88944,0.58168,1.09984,0.93837,0.86609,0.93316,0.73105,0.91407,0.5139,1.0606,0.0082675,0.0082675,0.0082675
177,3797.67,0.89521,0.58354,1.09585,0.93445,0.89626,0.93532,0.72882,0.92244,0.50599,1.06347,0.0082576,0.0082576,0.0082576
178,3819.11,0.89128,0.57815,1.09501,0.93198,0.88195,0.93071,0.73039,0.91951,0.5033,1.05995,0.0082477,0.0082477,0.0082477
